Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-0.01,0.03,0.06,-0.02,-0.13,-0.25,-0.18,0.07,-0.06,-0.15,0,0.05,-0.05,***,***,-0.03,-0.12,-0.07
1881,-0.08,-0.07,0.09,0.09,0.08,-0.05,-0.08,-0.02,-0.05,-0.01,0,0.09,0,-0.01,-0.03,0.09,-0.05,-0.02
1882,0.06,0.07,0.07,-0.02,-0.05,-0.16,-0.05,0.01,-0.06,0.02,-0.01,-0.08,-0.02,0,0.07,0,-0.07,-0.02
1883,-0.03,-0.09,-0.1,-0.08,-0.11,-0.02,-0.09,-0.05,-0.12,-0.07,-0.05,-0.06,-0.07,-0.07,-0.06,-0.1,-0.06,-0.08
1884,-0.08,-0.05,-0.1,-0.22,-0.33,-0.3,-0.23,-0.06,-0.12,-0.07,-0.11,-0.15,-0.15,-0.14,-0.07,-0.21,-0.2,-0.1
1885,-0.2,-0.23,-0.31,-0.36,-0.33,-0.43,-0.35,-0.23,-0.2,-0.13,-0.11,-0.1,-0.25,-0.25,-0.19,-0.33,-0.33,-0.15
1886,-0.15,-0.2,-0.18,-0.21,-0.16,-0.32,-0.22,-0.19,-0.16,-0.25,-0.16,-0.3,-0.21,-0.19,-0.15,-0.18,-0.24,-0.19
1887,-0.37,-0.44,-0.28,-0.31,-0.35,-0.28,-0.28,-0.17,-0.3,-0.23,-0.25,-0.24,-0.29,-0.3,-0.37,-0.32,-0.24,-0.26
1888,-0.2,-0.13,-0.22,-0.2,-0.3,-0.32,-0.22,-0.1,-0.06,0.05,0.06,0.14,-0.12,-0.16,-0.19,-0.24,-0.21,0.02
1889,0.07,0.02,0.12,0.02,0.01,-0.13,-0.08,-0.2,-0.18,-0.1,-0.06,-0.04,-0.05,-0.03,0.08,0.05,-0.14,-0.11
1890,-0.2,-0.32,-0.34,-0.35,-0.44,-0.33,-0.33,-0.39,-0.38,-0.39,-0.25,-0.17,-0.33,-0.31,-0.19,-0.38,-0.35,-0.34
1891,-0.21,-0.25,-0.2,-0.19,-0.18,-0.29,-0.24,-0.22,-0.24,-0.16,-0.1,-0.05,-0.2,-0.21,-0.21,-0.19,-0.25,-0.17
1892,-0.09,-0.05,-0.14,-0.22,-0.23,-0.38,-0.26,-0.21,-0.13,-0.01,-0.03,-0.12,-0.16,-0.15,-0.06,-0.2,-0.28,-0.06
1893,-0.12,-0.17,-0.12,-0.24,-0.25,-0.32,-0.15,-0.17,-0.17,-0.09,-0.04,-0.03,-0.16,-0.16,-0.14,-0.2,-0.21,-0.1
1894,-0.14,-0.16,-0.24,-0.36,-0.36,-0.4,-0.27,-0.21,-0.24,-0.18,-0.03,-0.07,-0.22,-0.22,-0.11,-0.32,-0.3,-0.15
1895,-0.14,-0.06,-0.17,-0.25,-0.25,-0.22,-0.15,-0.07,-0.19,-0.13,-0.21,-0.06,-0.16,-0.16,-0.09,-0.22,-0.15,-0.18
1896,-0.08,-0.07,-0.04,-0.01,-0.16,-0.29,-0.05,0,-0.03,0.08,0.12,0.12,-0.04,-0.05,-0.07,-0.07,-0.12,0.06
1897,0.09,0.07,0.11,-0.01,-0.17,-0.17,-0.09,-0.12,-0.11,-0.1,-0.1,-0.13,-0.06,-0.04,0.09,-0.02,-0.13,-0.11
1898,-0.1,-0.17,-0.24,-0.35,-0.34,-0.3,-0.34,-0.37,-0.27,-0.33,-0.26,-0.21,-0.27,-0.27,-0.13,-0.31,-0.34,-0.29
1899,-0.21,-0.14,-0.14,-0.18,-0.23,-0.28,-0.16,-0.11,-0.06,-0.13,-0.1,-0.07,-0.15,-0.16,-0.19,-0.18,-0.18,-0.09
1900,-0.11,0.02,-0.05,-0.09,-0.14,-0.1,-0.14,-0.09,-0.08,-0.03,0,-0.1,-0.08,-0.07,-0.05,-0.09,-0.11,-0.04
1901,-0.11,-0.13,-0.16,-0.16,-0.2,-0.26,-0.3,-0.25,-0.18,-0.27,-0.13,-0.15,-0.19,-0.19,-0.12,-0.17,-0.27,-0.2
